id,per_square_meter_price
COL_289284,53243.79662884471
COL_289305,44776.31078711958
COL_289318,74943.2248296745
COL_289354,87060.0
COL_289399,51741.69166062349
COL_289428,32936.31185602826
COL_289460,1680.7997242330234
COL_289493,114048.78048780488
COL_289495,77814.10256410256
COL_289749,50377.63768654116
COL_289763,163395.7871346333
COL_289778,58453.6307032346
COL_289801,14214.285714285714
COL_289971,119400.0
COL_290143,91520.0
COL_290169,40583.2568573468
COL_290252,32336.0
COL_290336,19221.09782275376
COL_290398,37714.49371019403
COL_290403,61860.36829275009
COL_290431,14926.666666666664
COL_290466,79600.0
COL_290486,56822.122303486205
COL_290497,54828.04377564979
COL_290510,104238.09523809524
COL_290559,64673.33333333334
COL_290600,161687.5
COL_290602,161687.5
COL_290716,7803.921568627451
COL_290717,28211.340206185567
COL_290876,28371.755147008196
COL_290966,36465.96858638743
COL_291008,28999.216335669073
COL_291021,123190.47619047615
COL_291043,132203.04659498206
COL_291190,833.3333333333335
COL_291192,104312.26765799258
COL_291274,107459.80190862496
COL_291284,67489.15594051941
COL_291397,188157.05128205128
COL_291450,114955.27035636829
COL_291738,69146.86596376385
COL_291740,49670.94703049759
COL_291825,4520.672421626534
COL_291900,75289.21730363525
COL_292045,10293.040293040292
COL_292135,99500.0
COL_292258,5000.0
COL_292275,2985.714285714286
COL_292279,60193.5874168179
COL_292364,23109.67741935484
COL_292417,104038.46153846152
COL_292421,65174.382659262104
COL_292501,59697.834032263476
COL_292654,118699.25796595373
COL_292906,79195.66211650234
COL_292926,25627.876461808442
COL_293123,42288.46153846154
COL_293135,45706.71378091873
COL_293496,21568.507157464217
COL_293497,10219.421101774044
COL_293588,471315.78947368416
COL_293614,376316.49937264743
COL_293631,76058.86029837346
COL_293703,39800.0
COL_293773,114425.0
COL_293780,57613.466933631316
COL_293783,22294.831623947855
COL_293826,3479.4701986754967
COL_293889,108297.06244162866
COL_293952,105291.66666666666
COL_293956,64676.19047619048
COL_294068,75375.03055367313
COL_294101,26860.0
COL_294115,42331.158572728644
COL_294143,17017.450179351537
COL_294200,9895.94546106925
COL_294245,67632.62599469496
COL_294261,34906.2185926433
COL_294293,148590.23211665347
COL_294300,64172.101196554795
COL_294350,56134.328358208964
COL_294488,95520.0
COL_294525,107945.11805998725
COL_294553,31754.53189192113
COL_294558,21097.329027279942
COL_294593,68369.72977230816
COL_294691,16360.738255033555
COL_294716,4975.0
COL_294729,33751.696065128905
COL_294785,67001.60643809209
COL_294917,19153.75
COL_294951,1658.333333333333
COL_294975,51823.04870944924
COL_295255,1197.9390296264494
COL_295327,18169.565217391304
COL_295509,56808.04785209353
COL_295595,77028.76094947598
COL_296322,57657.064306603126
COL_296509,42783.937036080744
COL_296521,214758.10327078155
COL_296756,39800.0
COL_296901,43833.333333333336
COL_297293,24407.840701497993
COL_297324,203408.1632653061
COL_297326,103071.42857142855
COL_297329,24589.244851258576
COL_297441,59897.959183673476
COL_297472,25439.600125280438
COL_297631,66496.05724731945
COL_297815,83438.34161696483
COL_298020,46207.43034055729
COL_298046,71902.17391304349
COL_298052,56142.857142857145
COL_298055,111049.47613296457
COL_298064,71902.17391304349
COL_298075,118452.38095238096
COL_298099,41078.478446436195
COL_298101,117899.46220446174
COL_298102,34039.473684210534
COL_298103,34039.473684210534
COL_298104,34039.473684210534
COL_298261,46302.5302530253
COL_298459,180770.34883720925
COL_298471,78537.86882165006
COL_298481,195653.0612244898
COL_298516,83273.39719970523
COL_298532,49039.28571428573
COL_298539,63680.0
COL_298593,209432.19634645793
COL_298719,42283.333333333336
COL_298724,48607.79816513762
COL_298733,33617.47572815534
COL_298817,56335.449618588675
COL_298837,10882.5
COL_298968,209432.19634645793
COL_299209,109973.68421052633
COL_299221,92552.34552436617
COL_299361,15076.136363636364
COL_299366,48288.744588744594
COL_299450,93319.99038554094
COL_299454,49256.81500308652
COL_299455,92662.35606308935
COL_299459,103701.11111111112
COL_299464,34794.765711001084
COL_299468,53517.24137931036
COL_299486,40386.88178461604
COL_299491,119399.37161251088
COL_299497,83644.26680233022
COL_299499,99496.5034965035
COL_299501,83673.23644358882
COL_299540,47321.4648299274
COL_299615,41362.90983606558
COL_299659,275878.0036968577
COL_299678,128766.75428297342
COL_299795,54297.748841425164
COL_299818,69782.80542986425
COL_299819,76534.41295546558
COL_299820,76534.41295546558
COL_299960,22685.164835164836
COL_300095,81418.18181818182
COL_300108,167267.16767536107
COL_300125,24874.669847094494
COL_300144,89002.29357798165
COL_300225,100125.68807348485
COL_300305,225381.9970362867
COL_300423,39241.26232594017
COL_300491,23020.614219604548
COL_300562,38873.76866481432
COL_300747,116800.0
COL_300816,62621.88989996231
COL_300942,86105.76923076923
COL_300959,68620.95181942137
COL_300962,86105.76923076923
COL_301220,59699.930216329376
COL_301285,102051.28205128203
COL_301290,55617.90450928381
COL_301303,82224.87195670244
COL_301367,21631.77670424047
COL_301368,127133.33333333331
COL_301378,22495.65217391304
COL_301401,25150.273224043714
COL_301444,35818.181818181816
COL_301445,896.6656653649744
COL_301574,195446.42857142846
COL_301649,33603.846153846156
COL_301669,92866.66666666669
COL_301670,45747.12643678161
COL_301679,44773.73068432672
COL_301709,26049.415766490278
COL_301757,195867.94606768785
COL_301819,52423.790720834826
COL_301820,52423.790720834826
COL_301821,52423.790720834826
COL_301822,52423.790720834826
COL_301823,52423.790720834826
COL_301843,65994.69496021219
COL_301976,72456.31067961165
COL_301986,23864.22466422466
COL_302097,155468.75
COL_302111,91098.61893400394
COL_302139,47490.69401182526
COL_302293,18457.69902670327
COL_302294,51910.644156400354
COL_302428,146125.0
COL_302465,30000.0
COL_302497,96821.23103542306
COL_302548,43497.199289527474
COL_302597,74633.33333333331
COL_302726,42465.804692690625
COL_302745,92301.20481927709
COL_302873,65082.061878883535
COL_302926,47790.585975024034
COL_302986,53287.926595719764
COL_302987,55597.26858922148
COL_302994,71373.77151799687
COL_303002,104237.16401285908
COL_303004,48233.42826036616
COL_303007,31238.518978081935
COL_303069,107639.34426229508
COL_303147,53236.84210526317
COL_303265,67503.39213025781
COL_303285,76534.41295546558
COL_303366,27385.32110091743
COL_303405,59676.12954818073
COL_303564,83932.51533742332
COL_303569,34824.620002255804
COL_303618,113322.2222222222
COL_303623,24035.08604341402
COL_303624,24035.08604341402
COL_303625,24035.08604341402
COL_303626,24035.08604341402
COL_303627,25496.91059331497
COL_303637,30809.523809523813
COL_303638,140836.39705882352
COL_304041,128292.03539823009
COL_304147,933632.0506062205
COL_304255,252727.2943807109
COL_304280,56922.19679633867
COL_304320,53066.66666666666
COL_304322,53066.66666666666
COL_304323,53066.66666666666
COL_304324,53066.66666666666
COL_304325,53066.66666666666
COL_304367,33010.24257827598
COL_304546,9826.925465838509
COL_304550,95292.50182741508
COL_304552,98259.67828395695
COL_304561,51075.2006822224
COL_304585,74622.70031389102
COL_304853,28855.421686746988
COL_304902,58456.503612634595
COL_304978,33947.580169883215
COL_304984,22111.11111111111
COL_305002,42153.914090817285
COL_305017,92392.85714285713
COL_305038,26175.997086056104
COL_305057,130285.71428571428
COL_305058,130285.71428571428
COL_305059,130285.71428571428
COL_305114,319930.6483749915
COL_305373,89318.18181818182
COL_305382,109647.49297794778
COL_305383,109647.49297794778
COL_305384,109647.49297794778
COL_305385,109647.49297794778
COL_305386,109647.49297794778
COL_305387,109647.49297794778
COL_305388,109647.49297794778
COL_305413,49822.393573350855
COL_305607,97740.66797642436
COL_305652,136000.0
COL_305726,260617.1127235932
COL_305896,119400.0
COL_305924,44469.7430033345
COL_305926,44469.7430033345
COL_306033,109569.4709028992
COL_306088,104563.82978723405
COL_306141,22858.108108108107
COL_306143,22858.108108108107
COL_306144,14071.28842380641
COL_306151,64133.33333333334
COL_306153,168455.44554455444
COL_306154,31095.0
COL_306155,72363.63636363638
COL_306206,31671.53711279953
COL_306621,80123.39146335368
COL_306728,9758.653846153846
COL_306758,84378.46720065478
COL_306763,91098.61893400394
COL_306803,85201.3888888889
COL_306853,76757.14285714286
COL_306892,54725.78296665137
COL_306938,110309.1115122427
COL_307001,64404.7619047619
COL_307043,305070.7547169812
COL_307158,21519.42815249267
COL_307269,59363.873076131924
COL_307356,37721.297442276074
COL_307480,44564.556033306035
COL_307529,111195.4148434046
COL_307623,49628.4187360327
COL_307819,143057.39741251283
COL_307874,143057.39741251283
COL_307945,89099.38291848806
COL_307986,103647.88964626644
COL_308206,37300.0
COL_308211,40593.83499546692
COL_308429,70202.45398773006
COL_308446,37683.16831683169
COL_308472,33094.56521739131
COL_308486,57745.535714285725
COL_308492,57745.535714285725
COL_308493,57745.535714285725
COL_308743,80546.20123203285
COL_308803,5223.75
COL_308813,978433.3333333336
COL_308963,72363.63636363638
COL_308966,25553.6754818467
COL_309079,23466.975149027003
COL_309121,78537.86882165006
COL_309434,107386.36363636363
COL_309612,51800.4338394794
COL_309635,31168.67469879518
